source_policy,policy,task,official_episode_id,repeat_id,seed,success,steps,error,timeout,horizon
cogact,cogact,stack,5,11,202706499,0,60,,0,60
cogact,cogact,stack,6,11,202706500,0,60,,0,60
cogact,cogact,stack,7,11,202706501,1,60,,0,60
cogact,cogact,stack,8,11,202706502,0,60,,0,60
cogact,cogact,stack,9,11,202706503,1,60,,0,60
cogact,cogact,stack,10,11,202706504,1,60,,0,60
cogact,cogact,stack,11,11,202706505,0,60,,0,60
cogact,cogact,stack,12,11,202706506,0,60,,0,60
cogact,cogact,stack,13,11,202706507,0,60,,0,60
cogact,cogact,stack,14,11,202706508,0,60,,0,60
cogact,cogact,stack,15,11,202706509,0,60,,0,60
cogact,cogact,stack,16,11,202706510,1,60,,0,60
cogact,cogact,stack,17,11,202706511,0,60,,0,60
cogact,cogact,stack,18,11,202706512,0,60,,0,60
cogact,cogact,stack,19,11,202706513,0,60,,0,60
cogact,cogact,stack,20,11,202706514,0,60,,0,60
cogact,cogact,stack,21,11,202706515,1,60,,0,60
cogact,cogact,stack,22,11,202706516,0,60,,0,60
cogact,cogact,stack,23,11,202706517,1,60,,0,60
cogact,cogact,carrot,0,0,202707230,0,60,,0,60
cogact,cogact,carrot,1,0,202707231,0,60,,0,60
cogact,cogact,carrot,2,0,202707232,1,60,,0,60
cogact,cogact,carrot,3,0,202707233,0,60,,0,60
cogact,cogact,carrot,4,0,202707234,0,60,,0,60
cogact,cogact,carrot,5,0,202707235,0,60,,0,60
cogact,cogact,carrot,6,0,202707236,0,60,,0,60
cogact,cogact,carrot,7,0,202707237,0,60,,0,60
cogact,cogact,carrot,8,0,202707238,0,60,,0,60
cogact,cogact,carrot,9,0,202707239,0,60,,0,60
cogact,cogact,carrot,10,0,202707240,0,60,,0,60
cogact,cogact,carrot,11,0,202707241,0,60,,0,60
cogact,cogact,carrot,12,0,202707242,1,60,,0,60
cogact,cogact,carrot,13,0,202707243,1,60,,0,60
cogact,cogact,carrot,14,0,202707244,1,60,,0,60
cogact,cogact,carrot,15,0,202707245,0,60,,0,60
cogact,cogact,carrot,16,0,202707246,1,60,,0,60
cogact,cogact,carrot,17,0,202707247,1,60,,0,60
cogact,cogact,carrot,18,0,202707248,1,60,,0,60
cogact,cogact,carrot,19,0,202707249,0,60,,0,60
cogact,cogact,carrot,20,0,202707250,1,60,,0,60
cogact,cogact,carrot,21,0,202707251,0,60,,0,60
cogact,cogact,carrot,22,0,202707252,1,60,,0,60
cogact,cogact,carrot,23,0,202707253,1,60,,0,60
cogact,cogact,carrot,0,1,202707254,0,60,,0,60
cogact,cogact,carrot,1,1,202707255,0,60,,0,60
cogact,cogact,carrot,2,1,202707256,0,60,,0,60
cogact,cogact,carrot,3,1,202707257,1,60,,0,60
cogact,cogact,carrot,4,1,202707258,0,60,,0,60
cogact,cogact,carrot,5,1,202707259,0,60,,0,60
cogact,cogact,carrot,6,1,202707260,1,60,,0,60
cogact,cogact,carrot,7,1,202707261,0,60,,0,60
cogact,cogact,carrot,8,1,202707262,0,60,,0,60
cogact,cogact,carrot,9,1,202707263,1,60,,0,60
cogact,cogact,carrot,10,1,202707264,0,60,,0,60
cogact,cogact,carrot,11,1,202707265,0,60,,0,60
cogact,cogact,carrot,12,1,202707266,1,60,,0,60
cogact,cogact,carrot,13,1,202707267,1,60,,0,60
cogact,cogact,carrot,14,1,202707268,1,60,,0,60
cogact,cogact,carrot,15,1,202707269,1,60,,0,60
cogact,cogact,carrot,16,1,202707270,1,60,,0,60
cogact,cogact,carrot,17,1,202707271,1,60,,0,60
cogact,cogact,carrot,18,1,202707272,0,60,,0,60
cogact,cogact,carrot,19,1,202707273,0,60,,0,60
cogact,cogact,carrot,20,1,202707274,1,60,,0,60
cogact,cogact,carrot,21,1,202707275,0,60,,0,60
cogact,cogact,carrot,22,1,202707276,1,60,,0,60
cogact,cogact,carrot,23,1,202707277,1,60,,0,60
cogact,cogact,carrot,0,2,202707278,0,60,,0,60
cogact,cogact,carrot,1,2,202707279,0,60,,0,60
cogact,cogact,carrot,2,2,202707280,0,60,,0,60
cogact,cogact,carrot,3,2,202707281,0,60,,0,60
cogact,cogact,carrot,4,2,202707282,0,60,,0,60
cogact,cogact,carrot,5,2,202707283,0,60,,0,60
cogact,cogact,carrot,6,2,202707284,0,60,,0,60
cogact,cogact,carrot,7,2,202707285,0,60,,0,60
cogact,cogact,carrot,8,2,202707286,0,60,,0,60
cogact,cogact,carrot,9,2,202707287,0,60,,0,60
cogact,cogact,carrot,10,2,202707288,1,60,,0,60
cogact,cogact,carrot,11,2,202707289,0,60,,0,60
cogact,cogact,carrot,12,2,202707290,1,60,,0,60
cogact,cogact,carrot,13,2,202707291,1,60,,0,60
cogact,cogact,carrot,14,2,202707292,0,60,,0,60
cogact,cogact,carrot,15,2,202707293,1,60,,0,60
cogact,cogact,carrot,16,2,202707294,1,60,,0,60
cogact,cogact,carrot,17,2,202707295,1,60,,0,60
cogact,cogact,carrot,18,2,202707296,0,60,,0,60
cogact,cogact,carrot,19,2,202707297,0,60,,0,60
cogact,cogact,carrot,20,2,202707298,1,60,,0,60
cogact,cogact,carrot,21,2,202707299,0,60,,0,60
cogact,cogact,carrot,22,2,202707300,1,60,,0,60
cogact,cogact,carrot,23,2,202707301,1,60,,0,60
cogact,cogact,carrot,0,3,202707302,0,60,,0,60
cogact,cogact,carrot,1,3,202707303,0,60,,0,60
cogact,cogact,carrot,2,3,202707304,1,60,,0,60
cogact,cogact,carrot,3,3,202707305,0,60,,0,60
cogact,cogact,carrot,4,3,202707306,0,60,,0,60
cogact,cogact,carrot,5,3,202707307,0,60,,0,60
cogact,cogact,carrot,6,3,202707308,1,60,,0,60
cogact,cogact,carrot,7,3,202707309,0,60,,0,60
cogact,cogact,carrot,8,3,202707310,1,60,,0,60
cogact,cogact,carrot,9,3,202707311,0,60,,0,60
cogact,cogact,carrot,10,3,202707312,0,60,,0,60
