paper_name,libero_spatial,libero_object,libero_goal,libero_long10,libero_spatial_prev_sota,libero_object_prev_sota,libero_goal_prev_sota,libero_long10_prev_sota
"Think Twice, Act Once: Token-Aware Compression and Action Reuse for Efficient Inference in Vision-Language-Action Models",82.6,86.6,78.8,46.8,84.2,86.4,75.4,51.4
Token Expand-Merge: Training-Free Token Compression for Vision-Language-Action Models,99.2,96.5,97.0,93.8,99.0,97.7,97.9,94.5
Unified Diffusion VLA: Vision-Language-Action Model via Joint Discrete Denoising Diffusion Process,94.1,95.7,91.2,89.6,97.5,96.8,91.6,89.5
Unified Video Action Model,,,,90.0,,,,85.0
Unified Vision-Language-Action Model,95.4,98.8,93.6,94.0,96.4,96.8,88.6,69.0
UniVLA: Learning to Act Anywhere with Task-centric Latent Actions,96.5,96.8,95.6,92.0,84.7,92.5,84.6,78.6
Verifier-free Test-Time Sampling for Vision Language Action Models,97.2,98.0,94.5,82.7,97.4,95.4,95.6,79.6
ViPRA: Video Prediction for Robot Actions,,,,79.0,,,,92.0
VITA-VLA: Efficiently Teaching Vision-Language Models to Act via Action Expert Distillation,98.0,99.8,97.9,93.5,96.4,96.8,88.6,69.0
VLA-0: Building State-of-the-Art VLAs with Zero Modification,97.0,97.8,96.2,87.6,98.0,98.8,97.9,94.5
VLA-Cache: Efficient Vision-Language-Action Manipulation via Adaptive Token Caching,98.3,97.5,98.3,95.4,97.8,97.6,97.6,94.2
VLA-Pruner: Temporal-Aware Dual-Level Visual Token Pruning for Efficient Vision-Language-Action Inference,97.3,98.6,96.8,92.6,95.8,98.7,96.7,90.7
VLA-RFT: Vision-Language-Action Reinforcement Fine-tuning with Verified Rewards in World Simulators,94.4,94.4,95.4,80.2,91.2,96.2,93.8,77.2
VLA-RL: Towards Masterful and General Robotic Manipulation with Scalable Reinforcement Learning,90.2,91.8,82.2,59.8,96.4,96.8,88.6,60.2
VLAs are Confined yet Capable of Generalizing to Novel Instructions,,,,,97.0,98.0,95.0,
VQ-VLA: Improving Vision-Language-Action Models via Scaling Vector-Quantized Action Tokenizers,,,75.2,60.0,,,75.8,51.0
When Robots Obey the Patch: Universal Transferable Patch Attacks on Vision-Language-Action Models,,,,,,,,
WorldVLA: Towards Autoregressive Action World Model,87.6,96.2,83.4,60.0,96.9,98.1,95.5,94.0
X-VLA: Soft-Prompted Transformer as Scalable Cross-Embodiment Vision-Language-Action Model,98.2,98.6,97.8,97.6,98.4,98.8,97.9,94.5
3D-Mix for VLA: A Plug-and-Play Module for Integrating VGGT-based 3D Information into Vision-Language-Action Models,,,,,,,,
"A1: A Fully Transparent Open-Source, Adaptive and Efficient Truncated Vision-Language-Action Model",97.4,99.8,97.6,91.4,98.8,98.8,98.0,94.5
AcceRL: A Distributed Asynchronous Reinforcement Learning and World Model Framework for Vision-Language-Action Models,99.6,100.0,98.8,99.1,99.4,99.8,99.2,98.5
ACoT-VLA: Action Chain-of-Thought for Vision-Language-Action Models,98.6,99.0,99.4,97.0,98.8,99.2,98.0,95.0
"Act, Think or Abstain: Complexity-Aware Adaptive Inference for Vision-Language-Action Models",80.00,90.00,86.67,60.00,73.33,90.0,83.33,53.33
Action Draft and Verify: A Self-Verifying Framework for Vision-Language-Action Model,98.4,99.4,98.2,97.6,97.8,98.4,96.6,93.0
ActionCodec: What Makes for Good Action Tokenizers,97.2,99.8,97.6,94.8,97.0,97.8,96.2,87.6
Adaptive Action Chunking at Inference-time for Vision-Language-Action Models,94.4,98.6,94.2,92.8,94.0,97.8,96.8,93.4
AdaWorldPolicy: World-Model-Driven Diffusion Policy with Online Adaptive Learning for Robotic Manipulation,,,,96.0,,,,94.0
"Altered Thoughts, Altered Actions: Probing Chain-of-Thought Vulnerabilities in VLA Robotic Manipulation",95.8,98.3,96.7,90.7,,,,
